temperature_2m,rain,day,month,year
4.854166666666667,4.7,26,1,2024
4.666666666666667,0.0,27,1,2024
2.375,0.0,28,1,2024
3.8083333333333336,0.0,29,1,2024
4.7875,0.0,30,1,2024
5.320833333333334,0.1,31,1,2024
5.054166666666666,1.3,1,2,2024
4.916666666666667,2.1,2,2,2024
9.483333333333333,2.3,3,2,2024
8.595833333333333,2.4,4,2,2024
8.858333333333333,11.5,5,2,2024
4.716666666666667,12.6,6,2,2024
