ï»¿"label";"ID";"PÃIVÃMÃÃRÃ";"VUOSI";"NELJÃNNES";"KUUKAUSI";"VIIKKO";"PÃIVÃ";"KUUKAUSIPÃIVÃ";"TUNTI";"LOMA";"ALUS";"SUUNTA";"PYSÃKKI";"NOUSIJAT";"AJONEUVOT";"HENKILÃAUTOT";"PAKETTIAUTOT";"KUORMA-AUTOT";"REKAT";"MUUT";"LISÃLIIKENNE";"RANNALLE_NOUSIJAT";"RANNALLE_AJONEUVOT";"RANNALLE_HENKILÃAUTOT";"RANNALLE_PAKETTIAUTOT";"RANNALLE_KUORMA-AUTOT";"RANNALLE_REKAT";"RANNALLE_MUUT";"LÃMPÃTILA_KUUKAUSI";"SADE_KUUKAUSI";"LÃMPÃTILA_PÃIVÃ";"SADE_PÃIVÃ";"LÃMPÃTILA";"SADE";"TUULI";"TAPAHTUMA";"AJAMATON";"LISÃTIETOJA";"User";"PYÃRÃT";"RANNALLE_PYÃRÃT"
"";"";"2024-02-20 10:40:00";"2024";"1";"2";"8";"1";"20";"10";"0";"MS Suomenlinna II";"s1";"0099";"97";"2";"0";"1";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"-0.2";"0";"3.6";"";"false";"";"MS Suomenlinna II";"1";""
"";"";"2024-02-20 09:20:00";"2024";"1";"2";"8";"1";"20";"9";"0";"MS EhrensvÃ¤rd";"s1";"0097";"4";"1";"0";"0";"0";"1";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"-0.7";"0";"2.8";"";"false";"";"MS EhrensvÃ¤rd";"0";""
"";"";"2024-02-20 09:45:00";"2024";"1";"2";"8";"1";"20";"9";"0";"MS EhrensvÃ¤rd";"s2";"0096";"5";"2";"0";"0";"2";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"-0.5";"0";"2.6";"";"false";"";"MS EhrensvÃ¤rd";"0";""
"";"";"2024-02-20 10:10:00";"2024";"1";"2";"8";"1";"20";"10";"0";"MS EhrensvÃ¤rd";"s1";"0097";"6";"4";"1";"2";"0";"0";"1";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"-0.4";"0";"3.3";"";"false";"Pieni kaivurikone";"MS EhrensvÃ¤rd";"0";""
"";"";"2024-02-20 10:40:00";"2024";"1";"2";"8";"1";"20";"10";"0";"MS EhrensvÃ¤rd";"s2";"0096";"3";"2";"0";"1";"0";"1";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"-0.2";"0";"3.6";"";"false";"";"MS EhrensvÃ¤rd";"0";""
"";"";"2024-02-20 10:55:00";"2024";"1";"2";"8";"1";"20";"10";"0";"MS Tor";"k2";"0094";"29";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"-0.3";"0";"3.5";"";"false";"";"MS Tor";"0";""
"";"";"2024-02-20 11:00:00";"2024";"1";"2";"8";"1";"20";"11";"0";"MS Suomenlinna II";"s2";"0098";"31";"4";"1";"1";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"-0.3";"0";"3.9";"";"false";"";"MS Suomenlinna II";"2";""
"";"";"2024-02-20 11:20:00";"2024";"1";"2";"8";"1";"20";"11";"0";"MS Tor";"k1";"0095";"8";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"-0.3";"0";"3.4";"";"false";"";"MS Tor";"0";""
"";"";"2024-02-20 11:20:00";"2024";"1";"2";"8";"1";"20";"11";"0";"MS Suomenlinna II";"s1";"0099";"95";"1";"0";"1";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"-0.3";"0";"3.4";"";"false";"";"MS Suomenlinna II";"0";""
"";"";"2024-02-20 11:40:00";"2024";"1";"2";"8";"1";"20";"11";"0";"MS Suomenlinna II";"s2";"0098";"42";"2";"0";"1";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"0";"0";"3";"";"false";"";"MS Suomenlinna II";"1";""
"";"";"2024-02-20 11:45:00";"2024";"1";"2";"8";"1";"20";"11";"0";"MS Tor";"k2";"0094";"33";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"0";"0";"3";"";"false";"";"MS Tor";"0";""
"";"";"2024-02-20 12:00:00";"2024";"1";"2";"8";"1";"20";"12";"0";"MS Suomenlinna II";"s1";"0099";"95";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"0.2";"0";"3.3";"";"false";"";"MS Suomenlinna II";"0";""
"";"";"2024-02-20 12:10:00";"2024";"1";"2";"8";"1";"20";"12";"0";"MS Tor";"k1";"0095";"3";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"0.1";"0";"3";"";"false";"";"MS Tor";"0";""
"";"";"2024-02-20 12:20:00";"2024";"1";"2";"8";"1";"20";"12";"0";"MS Suomenlinna II";"s2";"0098";"77";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"0";"0";"3.4";"";"false";"";"MS Suomenlinna II";"0";""
"";"";"2024-02-20 12:25:00";"2024";"1";"2";"8";"1";"20";"12";"0";"MS EhrensvÃ¤rd";"s1";"0097";"7";"1";"0";"1";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"0";"0";"3.4";"";"false";"";"MS EhrensvÃ¤rd";"0";""
"";"";"2024-02-20 12:35:00";"2024";"1";"2";"8";"1";"20";"12";"0";"MS Tor";"k2";"0094";"36";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"0.1";"0";"3.3";"";"false";"";"MS Tor";"0";""
"";"";"2024-02-20 13:00:00";"2024";"1";"2";"8";"1";"20";"13";"0";"MS Tor";"k1";"0095";"9";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"-0.1";"0";"3.8";"";"false";"";"MS Tor";"0";""
"";"";"2024-02-20 13:00:00";"2024";"1";"2";"8";"1";"20";"13";"0";"MS Suomenlinna II";"s1";"0099";"177";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"-0.1";"0";"3.8";"";"false";"";"MS Suomenlinna II";"0";""
"";"";"2024-02-20 13:20:00";"2024";"1";"2";"8";"1";"20";"13";"0";"MS Suomenlinna II";"s2";"0098";"103";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"0";"0";"2.5";"";"false";"";"MS Suomenlinna II";"0";""
"";"";"2024-02-20 13:25:00";"2024";"1";"2";"8";"1";"20";"13";"0";"MS Tor";"k2";"0094";"13";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"0";"0";"2.5";"";"false";"";"MS Tor";"0";""
"";"";"2024-02-20 13:40:00";"2024";"1";"2";"8";"1";"20";"13";"0";"MS Suomenlinna II";"s1";"0099";"109";"1";"0";"1";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"0.1";"0";"3.2";"";"false";"";"MS Suomenlinna II";"0";""
"";"";"2024-02-20 14:00:00";"2024";"1";"2";"8";"1";"20";"14";"0";"MS Suomenlinna II";"s2";"0098";"118";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"0";"0";"4.1";"";"false";"";"MS Suomenlinna II";"0";""
"";"";"2024-02-20 14:10:00";"2024";"1";"2";"8";"1";"20";"14";"0";"MS Tor";"k1";"0095";"21";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"-0.2";"0";"3.9";"";"false";"";"MS Tor";"0";""
"";"";"2024-02-20 14:35:00";"2024";"1";"2";"8";"1";"20";"14";"0";"MS Tor";"k2";"0094";"8";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"-0.2";"0";"3.8";"";"false";"";"MS Tor";"0";""
"";"";"2024-02-20 14:40:00";"2024";"1";"2";"8";"1";"20";"14";"0";"MS Suomenlinna II";"s1";"0099";"110";"1";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"-0.1";"0";"3.4";"";"false";"";"MS Suomenlinna II";"1";""
"";"";"2024-02-20 12:50:00";"2024";"1";"2";"8";"1";"20";"12";"0";"MS EhrensvÃ¤rd";"s2";"0096";"2";"1";"0";"0";"1";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"-0.1";"0";"3.6";"";"false";"";"MS EhrensvÃ¤rd";"0";""
"";"";"2024-02-20 13:15:00";"2024";"1";"2";"8";"1";"20";"13";"0";"MS EhrensvÃ¤rd";"s1";"0097";"1";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"0.2";"0";"2.7";"";"false";"";"MS EhrensvÃ¤rd";"0";""
"";"";"2024-02-20 13:40:00";"2024";"1";"2";"8";"1";"20";"13";"0";"MS EhrensvÃ¤rd";"s2";"0096";"2";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"0.1";"0";"3.2";"";"false";"";"MS EhrensvÃ¤rd";"0";""
"";"";"2024-02-20 14:05:00";"2024";"1";"2";"8";"1";"20";"14";"0";"MS EhrensvÃ¤rd";"s1";"0097";"0";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"0";"0";"4.1";"";"false";"";"MS EhrensvÃ¤rd";"0";""
