hidden_layer_sizes,activation,solver,max_iter,batch_size, score, mse, coefficient
(250, 200, 150, 100),relu,adam,1400,32,0.7139269451200121, 2092.5156858417427, 0.7139269451200121
(250, 200, 150, 100),relu,adam,1300,32,0.6344936239203995, 2203.19873765931, 0.6344936239203995
(250, 200, 150, 100, 50, 10),relu,adam,1200,32,0.6934634107778648, 2189.067630810639, 0.6934634107778648
(250, 200, 150, 100, 50, 10, 5),relu,adam,1200,32,0.6733917105843339, 2097.6005409954573, 0.6733917105843339
(250, 200, 150, 100, 50, 10, 5),relu,adam,1100,32,0.6740425770821852, 2222.256978241009, 0.6740425770821852
(250, 200, 150, 100, 50, 10, 5),relu,adam,1000,32,0.665838142037058, 2193.4670493433764, 0.665838142037058
(250, 200, 150, 100, 50, 10, 5),relu,adam,900,32,0.6931436882786606, 2022.2767597414145, 0.6931436882786606
(250, 200, 150, 100, 50, 10, 5),relu,adam,800,32,0.6972095400658211, 2104.368856080289, 0.6972095400658211
(250, 200, 150, 100, 50, 20, 10),relu,adam,800,32,0.667736358688384, 2109.7115003052036, 0.667736358688384
(250, 200, 150, 100, 50, 20, 10),relu,adam,1000,32,0.6721109289359137, 2150.2261024650466, 0.6721109289359137
(250, 200, 150, 100, 50, 20, 10),relu,adam,1100,32,0.675562945937052, 2238.6090855356174, 0.675562945937052
(100, 50),relu,adam,2000,32,0.6050943121408802, 2415.9885000757176, 0.6050943121408802
(150, 100, 50),logistic,lbfgs,3000,auto,0.5097738573369567, 2501.5962630155977, 0.5097738573369567
(150, 100, 50),relu,adam,2000,32,0.6878563554866635, 2121.7967872299378, 0.6878563554866635
(150, 100, 50),relu,adam,2100,32,0.6640290822034933, 2120.385719177483, 0.6640290822034933
(200, 100, 50),relu,adam,2000,32,0.6742779527626472, 2118.9498050745506, 0.6742779527626472
(250, 100, 50),relu,adam,2000,32,0.6762353239892842, 2145.3979468348966, 0.6762353239892842
(250, 100, 50),relu,adam,2200,32,0.6724855101990437, 2164.6782950498928, 0.6724855101990437
(250, 200, 150, 100),relu,adam,1400,32,0.6566842165882807, 2231.178250938762, 0.6566842165882807
(250, 200, 150, 100),relu,adam,1500,32,0.6669440951038619, 2110.1440696674154, 0.6669440951038619
(250, 200, 150, 100),relu,adam,1600,32,0.6801029129718075, 2080.3452870596466, 0.6801029129718075
(250, 200, 150, 100),relu,adam,1700,32,0.6049087044322852, 2343.8917636895294, 0.6049087044322852
(250, 200, 150, 100),relu,adam,1450,32,0.6833174293817821, 2037.6284917911998, 0.6833174293817821
(250, 200, 150, 100),relu,adam,1420,32,0.636669795288618, 2200.8757582645776, 0.636669795288618
(250, 200, 150, 100),relu,adam,1450,32,0.673486191449419, 2034.897972708861, 0.673486191449419
(250, 200, 150, 100),relu,adam,1450,32,0.7144020412750567, 2049.880342828654, 0.7144020412750567
(250, 200, 150, 100),relu,adam,1550,32,0.7425837301207903, 1952.1656248090442, 0.7425837301207903
(250, 200, 150),relu,adam,2000,32,0.7267179912762736, 1886.6550607577235, 0.7267179912762736
(250, 200, 150),relu,adam,2100,32,0.7551675804441229, 1901.0430081768748, 0.7551675804441229
(250, 200, 150),relu,adam,2050,32,0.7575723902533684, 1931.3165468135453, 0.7575723902533684
(250, 200, 150),relu,adam,2050,32,0.747650428211404, 1889.887171617796, 0.747650428211404
(250, 200, 150),relu,adam,2000,32,0.751594461897902, 1857.9998852639283, 0.751594461897902
(250, 200, 150, 20),relu,adam,2000,32,0.7502875704884093, 1917.71729719988, 0.7502875704884093
(250, 200, 150, 20),relu,adam,2000,32,0.7410155180327294, 1889.1396586259805, 0.7410155180327294
(250, 200, 150, 20),relu,adam,2000,32,0.7591967980364401, 1979.5519666444834, 0.7591967980364401
(250, 200, 150, 20),relu,adam,2000,32,0.7588061097290094, 1833.1119346946207, 0.7588061097290094
(250, 200, 150, 20),relu,adam,2000,32,0.7649331354505741, 1872.144189962316, 0.7649331354505741
(250, 200, 150, 20),relu,adam,2000,32,0.7300020006682233, 1951.5933947893468, 0.7300020006682233
(250, 200, 150, 20),relu,adam,2000,32,0.7814552726401848, 1727.9035892094669, 0.7814552726401848
(250, 200, 150, 20),relu,adam,2000,32,0.7594411656927946, 1878.9024174860663, 0.7594411656927946
(250, 200, 150, 20),relu,adam,2000,32,0.7145782208004452, 2035.6379847924436, 0.7145782208004452
(250, 200, 150, 20),relu,adam,2000,32,0.7514265176855948, 1840.5137406170525, 0.7514265176855948
(250, 200, 150, 20),relu,adam,2100,32,0.7295266013109072, 1965.9303226671225, 0.7295266013109072
(250, 200, 150, 20),relu,adam,1950,32,0.7761456507520236, 1797.2656888090564, 0.7761456507520236
(250, 200, 150, 20),relu,adam,1900,32,0.7364589121071047, 1868.306973982094, 0.7364589121071047
(250, 200, 150, 20),relu,adam,1950,32,0.7767473664924687, 1820.3485598988575, 0.7767473664924687
(250, 200, 150, 20),relu,adam,1950,16,0.7337028319514765, 1924.6459214779493, 0.7337028319514765
(250, 200, 150, 20),relu,adam,1950,64,0.7618783622130926, 1797.6359355205793, 0.7618783622130926
(250, 200, 150, 20),relu,adam,1980,64,0.7408291582100505, 1876.2939326522292, 0.7408291582100505
(250, 200, 150, 20),relu,adam,1980,32,0.7782746058296536, 1751.50683911986, 0.7782746058296536
(250, 200, 150, 20),relu,adam,1975,32,0.7233385814351687, 1950.9073979211012, 0.7233385814351687
(250, 200, 150, 20),relu,adam,1960,32,0.7414910845918179, 1943.4111050866402, 0.7414910845918179
